site,year,ions,avg_ion_conc
Q1,1988-05-10,nitrate_con,157.5
Q1,1988-05-10,mg_con,2.183
Q1,1988-05-10,ca_con,2.985
Q1,1988-05-10,amm_con,90.625
Q1,1988-05-10,k_con,0.8811111111111111
Q1,1988-05-10,nitrate_con,157.5
Q1,1988-05-10,mg_con,2.183
Q1,1988-05-10,ca_con,2.985
Q1,1988-05-10,amm_con,90.625
Q1,1988-05-17,k_con,0.7914285714285715
Q1,1988-05-17,nitrate_con,150
Q1,1988-05-17,mg_con,2.0766666666666667
Q1,1988-05-17,ca_con,2.95875
Q1,1988-05-17,amm_con,107.66666666666667
Q1,1988-05-24,k_con,0.7877777777777778
Q1,1988-05-24,nitrate_con,150.66666666666666
Q1,1988-05-24,mg_con,2.188
Q1,1988-05-24,ca_con,3.1433333333333335
Q1,1988-05-24,amm_con,81.8
Q1,1988-05-31,k_con,0.7833333333333333
Q1,1988-05-31,nitrate_con,151.5
Q1,1988-05-31,mg_con,2.233
Q1,1988-05-31,ca_con,3.2644444444444445
Q1,1988-05-31,amm_con,86.5
Q1,1988-06-07,k_con,0.7644444444444445
Q1,1988-06-07,nitrate_con,147
Q1,1988-06-07,mg_con,2.266
Q1,1988-06-07,ca_con,3.3000000000000003
Q1,1988-06-07,amm_con,95
Q1,1988-06-14,k_con,0.7655555555555555
Q1,1988-06-14,nitrate_con,NA
Q1,1988-06-14,mg_con,2.267
Q1,1988-06-14,ca_con,3.2977777777777777
Q1,1988-06-14,amm_con,113
Q1,1988-06-21,k_con,0.7711111111111111
Q1,1988-06-21,nitrate_con,NA
Q1,1988-06-21,mg_con,2.267
Q1,1988-06-21,ca_con,3.2933333333333334
Q1,1988-06-21,amm_con,87
Q1,1988-06-28,k_con,0.7623076923076924
Q1,1988-06-28,nitrate_con,34.2
Q1,1988-06-28,mg_con,1.9653846153846153
Q1,1988-06-28,ca_con,2.770769230769231
Q1,1988-06-28,amm_con,16
Q1,1988-07-05,k_con,0.7676923076923077
Q1,1988-07-05,nitrate_con,53.5
Q1,1988-07-05,mg_con,1.9584615384615385
Q1,1988-07-05,ca_con,2.6492307692307695
Q1,1988-07-05,amm_con,16
Q1,1988-07-12,k_con,0.7607692307692308
Q1,1988-07-12,nitrate_con,63
Q1,1988-07-12,mg_con,1.9523076923076923
Q1,1988-07-12,ca_con,2.686923076923077
Q1,1988-07-12,amm_con,15.5
Q1,1988-07-19,k_con,0.7628571428571429
Q1,1988-07-19,nitrate_con,79.125
Q1,1988-07-19,mg_con,2.0284615384615385
Q1,1988-07-19,ca_con,2.545
Q1,1988-07-19,amm_con,15.5
Q1,1988-07-22,k_con,0.7642857142857142
Q1,1988-07-22,nitrate_con,87
Q1,1988-07-22,mg_con,2.09
Q1,1988-07-22,ca_con,2.6314285714285717
Q1,1988-07-22,amm_con,26
Q1,1988-07-26,k_con,0.76
Q1,1988-07-26,nitrate_con,87
Q1,1988-07-26,mg_con,2.058333333333333
Q1,1988-07-26,ca_con,2.5876923076923077
Q1,1988-07-26,amm_con,26
Q1,1988-07-26,k_con,0.76
Q1,1988-07-26,nitrate_con,87
Q1,1988-07-26,mg_con,2.058333333333333
Q1,1988-07-26,ca_con,2.5876923076923077
Q1,1988-07-26,amm_con,26
Q1,1988-08-02,k_con,0.76
Q1,1988-08-02,nitrate_con,93.2
Q1,1988-08-02,mg_con,2.1425
Q1,1988-08-02,ca_con,2.7246153846153844
Q1,1988-08-02,amm_con,26
Q1,1988-08-09,k_con,0.76
Q1,1988-08-09,nitrate_con,88.63636363636364
Q1,1988-08-09,mg_con,2.075
Q1,1988-08-09,ca_con,2.6915384615384617
Q1,1988-08-09,amm_con,34.25
Q1,1988-08-16,k_con,0.7553846153846154
Q1,1988-08-16,nitrate_con,93.83333333333333
Q1,1988-08-16,mg_con,2.046666666666667
Q1,1988-08-16,ca_con,2.8038461538461537
Q1,1988-08-16,amm_con,37.2
Q1,1988-08-23,k_con,0.7483333333333333
Q1,1988-08-23,nitrate_con,98.46153846153847
Q1,1988-08-23,mg_con,1.9736363636363636
Q1,1988-08-23,ca_con,2.7466666666666666
Q1,1988-08-23,amm_con,43.2
Q1,1988-08-24,k_con,0.7491666666666666
Q1,1988-08-24,nitrate_con,99.3076923076923
Q1,1988-08-24,mg_con,1.96
Q1,1988-08-24,ca_con,2.748333333333333
Q1,1988-08-24,amm_con,43.2
Q1,1988-08-24,k_con,0.7491666666666666
Q1,1988-08-24,nitrate_con,99.3076923076923
Q1,1988-08-24,mg_con,1.96
Q1,1988-08-24,ca_con,2.748333333333333
Q1,1988-08-24,amm_con,43.2
Q1,1988-08-24,k_con,0.7491666666666666
Q1,1988-08-24,nitrate_con,99.3076923076923
Q1,1988-08-24,mg_con,1.96
Q1,1988-08-24,ca_con,2.748333333333333
Q1,1988-08-24,amm_con,43.2
Q1,1988-08-24,k_con,0.7491666666666666
Q1,1988-08-24,nitrate_con,99.3076923076923
Q1,1988-08-24,mg_con,1.96
Q1,1988-08-24,ca_con,2.748333333333333
Q1,1988-08-24,amm_con,43.2
Q1,1988-08-24,k_con,0.7491666666666666
